id,calories,proteins,fat,carbohydrate,name,image,harga,bahan_dasar,protein_per_100cal
1,184.0,18.8,14.0,0.0,Anak sapi daging gemuk segar,https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png,33489,sapi,10.217391304347826
2,174.0,19.6,10.0,0.0,Anak sapi daging kurus segar,https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg,24997,sapi,11.264367816091955
3,190.0,19.1,12.0,0.0,Anak sapi daging sedang segar,https://koran-jakarta.com/images/article/tips-memilih-daging-sapi-segar-dan-berkualitas-baik-untuk-dikonsumsi-210409135933.jpg,17991,sapi,10.052631578947368
4,302.0,18.2,25.0,0.0,Ayam,https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg,10758,ayam,6.026490066225165
5,297.0,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg,16705,ayam,12.087542087542086
6,270.0,32.3,11.2,9.9,Ayam ampela goreng,https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg,9843,ayam,11.962962962962962
7,75.0,13.8,1.9,0.7,Ayam dideh/darah segar,https://pelopor.id/wp-content/uploads/2022/03/WhatsApp-Image-2022-02-05-at-11.46.55.jpeg,12337,ayam,18.4
8,295.0,34.0,16.0,1.5,Ayam goreng church texa sayap,https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png,9927,ayam,11.525423728813559
9,338.0,35.2,20.6,0.4,Ayam goreng church texas dada,https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1,13323,ayam,10.414201183431954
10,275.0,37.4,12.2,1.3,Ayam goreng kalasan paha,https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg,13510,ayam,13.599999999999998
11,298.0,34.2,16.8,0.1,Ayam goreng kentucky dada,https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200,16867,ayam,11.476510067114095
12,286.0,32.1,16.1,1.1,Ayam goreng Kentucky paha,https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg,15942,ayam,11.223776223776225
13,295.0,39.2,13.6,1.0,Ayam goreng mbok berek dada,https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg,11646,ayam,13.28813559322034
